orig_id,month,y,open,promo,schoolholiday,holiday_0,holiday_a,holiday_b,holiday_c,competitiondistance,competitionopensincemonth,competitionopensinceyear,promo2,promo2sinceweek,promo2sinceyear,promointerval,storetype_a,storetype_b,storetype_c,storetype_d,storeassort_a,storeassort_b,storeassort_c,t,z0
26053,-1.454734162,0.087642552,0.440167092,2.05205384,-0.593881592,0.460443147,0.424765887,-0.356025383,-0.28730111,-0.551257333,0.570016492,-0.409613819,-0.99358103,-0.059281654,0.10516065,-0.819142964,0.919599693,-0.127915374,-0.396708209,-0.664196275,0.946018459,-0.091518754,-0.930369381,0.801317234,373
26052,-1.454734162,-0.835908427,-0.162489487,2.05205384,-0.429313382,-0.4797471,1.482977113,-0.356025383,-0.28730111,0.737934563,0.196957201,0.178331535,1.006460439,-0.059281654,0.10516065,0.198198892,-1.08742968,-0.127915374,-0.396708209,1.505579056,-1.057061827,-0.091518754,1.074841907,0.801317234,372
26051,-1.454734162,0.893090154,0.440167092,2.05205384,-0.264745172,0.460443147,0.424765887,-0.356025383,-0.28730111,-0.068941809,0.196957201,0.178331535,1.006460439,-0.461213427,1.80278229,0.198198892,-1.08742968,-0.127915374,-0.396708209,1.505579056,-1.057061827,-0.091518754,1.074841907,0.801317234,371
26050,-1.454734162,0.07857884,0.440167092,2.05205384,0.558095877,0.460443147,0.424765887,-0.356025383,-0.28730111,-0.445225502,-0.17610209,-0.017650249,1.006460439,2.251826038,1.80278229,1.215540748,-1.08742968,-0.127915374,-0.396708209,1.505579056,-1.057061827,-0.091518754,1.074841907,0.801317234,370
26049,-1.454734162,0.221993358,0.440167092,2.05205384,-0.264745172,0.460443147,0.424765887,-0.356025383,-0.28730111,0.366823155,0.943075782,-1.781486313,1.006460439,0.845064834,-2.44127181,0.198198892,-1.08742968,-0.127915374,-0.396708209,1.505579056,0.946018459,-0.091518754,-0.930369381,0.801317234,369
26048,-1.454734162,-0.133386687,0.440167092,2.05205384,0.558095877,0.460443147,0.424765887,-0.356025383,-0.28730111,0.059072231,-1.295279962,0.962258675,-0.99358103,-0.059281654,0.10516065,-0.819142964,-1.08742968,-0.127915374,-0.396708209,1.505579056,-1.057061827,-0.091518754,1.074841907,0.801317234,368
26054,-1.454734162,0.888153258,-0.162489487,2.05205384,-0.429313382,-0.4797471,1.482977113,-0.356025383,-0.28730111,1.331454203,-2.041398544,0.76627689,1.006460439,1.447962493,-2.44127181,0.198198892,0.919599693,-0.127915374,-0.396708209,-0.664196275,-1.057061827,-0.091518754,1.074841907,0.801317234,374
27538,-1.172055323,-0.125454028,-0.765146067,-0.942207173,-0.100176962,-1.419937347,-0.633445338,-0.356025383,-0.28730111,-0.522809768,1.689194364,0.37431332,1.006460439,1.749411322,1.80278229,0.198198892,0.919599693,-0.127915374,-0.396708209,-0.664196275,0.946018459,-0.091518754,-0.930369381,0.835345774,743
27541,-1.172055323,0.051311281,-0.765146067,-0.942207173,0.722664087,-1.419937347,-0.633445338,-0.356025383,-0.28730111,5.214546744,0.196957201,-0.213632034,-0.99358103,-0.059281654,0.10516065,-0.819142964,-1.08742968,-0.127915374,2.520744407,-0.664196275,-1.057061827,-0.091518754,1.074841907,0.835345774,746
27540,-1.172055323,-0.328019584,-0.765146067,-0.942207173,-0.923018011,-1.419937347,-0.633445338,-0.356025383,-0.28730111,-0.14006072,-2.041398544,0.37431332,1.006460439,1.246996607,-0.74365017,2.232882603,-1.08742968,-0.127915374,-0.396708209,1.505579056,-1.057061827,-0.091518754,1.074841907,0.835345774,745
27539,-1.172055323,-0.123925578,-0.765146067,-0.942207173,0.722664087,-1.419937347,-0.633445338,-0.356025383,-0.28730111,1.582309998,1.316135073,0.76627689,1.006460439,1.447962493,-2.44127181,0.198198892,0.919599693,-0.127915374,-0.396708209,-0.664196275,0.946018459,-0.091518754,-0.930369381,0.835345774,744
27537,-1.172055323,-1.341260042,-0.765146067,-0.942207173,0.722664087,-1.419937347,-0.633445338,-0.356025383,-0.28730111,0.167690204,1.316135073,-1.193540958,1.006460439,-0.863145199,0.10516065,0.198198892,0.919599693,-0.127915374,-0.396708209,-0.664196275,0.946018459,-0.091518754,-0.930369381,0.835345774,742
27530,-1.172055323,-0.589033089,-0.765146067,-0.942207173,-0.100176962,-1.419937347,-0.633445338,-0.356025383,-0.28730111,-0.486603777,0.196957201,0.178331535,1.006460439,-0.863145199,-0.74365017,0.198198892,-1.08742968,-0.127915374,2.520744407,-0.664196275,-1.057061827,-0.091518754,1.074841907,0.835345774,735
27535,-1.172055323,0.174962933,-0.765146067,-0.942207173,-0.593881592,-1.419937347,-0.633445338,-0.356025383,-0.28730111,0.83879411,0.196957201,0.178331535,-0.99358103,-0.059281654,0.10516065,-0.819142964,-1.08742968,-0.127915374,-0.396708209,1.505579056,-1.057061827,-0.091518754,1.074841907,0.835345774,740
27534,-1.172055323,-0.228975986,-0.765146067,-0.942207173,-0.923018011,-1.419937347,-0.633445338,-0.356025383,-0.28730111,0.127605,-1.668339253,0.962258675,-0.99358103,-0.059281654,0.10516065,-0.819142964,-1.08742968,-0.127915374,-0.396708209,1.505579056,0.946018459,-0.091518754,-0.930369381,0.835345774,739
27533,-1.172055323,0.747184261,-0.765146067,-0.942207173,-0.100176962,-1.419937347,-0.633445338,-0.356025383,-0.28730111,-0.341779813,-0.549161381,-0.213632034,1.006460439,-0.059281654,-0.74365017,0.198198892,-1.08742968,-0.127915374,-0.396708209,1.505579056,-1.057061827,-0.091518754,1.074841907,0.835345774,738
27532,-1.172055323,0.414104311,-0.765146067,-0.942207173,-0.923018011,-1.419937347,-0.633445338,-0.356025383,-0.28730111,0.073296013,0.943075782,-0.801577389,-0.99358103,-0.059281654,0.10516065,-0.819142964,-1.08742968,-0.127915374,-0.396708209,1.505579056,-1.057061827,-0.091518754,1.074841907,0.835345774,737
27531,-1.172055323,-0.579189867,-0.765146067,-0.942207173,-0.923018011,-1.419937347,-0.633445338,-0.356025383,-0.28730111,-0.687029799,-0.922220671,-0.409613819,1.006460439,0.845064834,0.95397147,0.198198892,0.919599693,-0.127915374,-0.396708209,-0.664196275,0.946018459,-0.091518754,-0.930369381,0.835345774,736
27542,-1.172055323,-0.697767063,-0.765146067,-0.942207173,-0.923018011,-1.419937347,-0.633445338,-0.356025383,-0.28730111,-0.392209586,-1.668339253,0.178331535,1.006460439,-0.863145199,-0.74365017,0.198198892,-1.08742968,-0.127915374,-0.396708209,1.505579056,0.946018459,-0.091518754,-0.930369381,0.835345774,747
27536,-1.172055323,0.314418764,-0.765146067,-0.942207173,-0.923018011,-1.419937347,-0.633445338,-0.356025383,-0.28730111,-0.133595364,0.196957201,0.178331535,-0.99358103,-0.059281654,0.10516065,-0.819142964,-1.08742968,-0.127915374,-0.396708209,1.505579056,-1.057061827,-0.091518754,1.074841907,0.835345774,741
